timestamp,height,x_speed,y_speed,z_speed,pitch,roll,yaw,temperature,distance,barometer,flight_time,battery,mp_distance_x,mp_distance_y,mp_distance_z,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class,mid,x,y,z,vgx,vgy,vgz,templ,temph,tof,h,bat,time,agx,agy,agz,wlan.flags,wlan.fcs,wlan.fcs.status,wlan.qos,wlan.qos.priority,wlan.qos.ack,wlan.ccmp.extiv,wlan.wep.key,radiotap.hdr_length,radiotap.antenna_signal,radiotap.signal_quality,radiotap.channel.flags.ofdm,radiotap.channel.flags.cck,wlan_radio.datarate,wlan_radio.channel,wlan_radio.frequency,wlan_radio.signal_strength (dbm),wlan_radio.Noise level (dbm),wlan_radio.SNR (db),wlan_radio.preamble
28122.961745,80.0,0.0,0.0,0.0,0,0,0,68.0,84.0,19309.0,7.0,65.0,-15.0,-5.0,86.0,261,98,0.0,320,3,1,3,1,0,0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.002691,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28123.22718,80.0,0.0,0.0,0.0,0,0,0,68.0,84.0,19305.0,7.0,65.0,-13.0,-6.0,86.0,261,98,0.0,320,3,1,3,1,0,0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.002691,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28123.48582,80.0,0.0,0.0,0.0,0,0,0,68.0,83.0,19303.0,8.0,65.0,-18.0,-6.0,85.0,261,98,0.0,320,3,1,3,1,0,0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.002691,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28125.062615,80.0,0.0,0.0,0.0,-1,0,0,67.0,83.0,19307.0,8.0,65.0,-21.0,-9.0,84.0,279,227,3.0,44,0,1,0,1,0,0,117,2048.0,20.0,193.0,114.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,173.0,144.0,165,2,8,2.628489,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28125.326165,80.0,0.0,0.0,0.0,-1,0,0,67.0,85.0,19309.0,9.0,65.0,-24.0,-10.0,84.0,279,227,3.0,44,0,1,0,1,0,0,117,2048.0,20.0,193.0,114.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,173.0,144.0,165,2,8,2.628489,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28125.64435,80.0,0.0,0.0,0.0,-1,0,0,68.0,85.0,19306.0,9.0,65.0,-25.0,-10.0,85.0,292,26,0.0,60,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12,0.008588,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28126.055895,80.0,0.0,0.0,0.0,-1,0,0,68.0,85.0,19305.0,10.0,65.0,-26.0,-15.0,84.0,306,26,0.0,60,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12,0.009719,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28126.314145,80.0,1.0,0.0,0.0,-3,-1,0,68.0,84.0,19302.0,10.0,65.0,-25.0,-11.0,85.0,306,26,0.0,60,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12,0.009719,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28126.579725,80.0,1.0,0.0,0.0,-1,0,0,68.0,82.0,19307.0,11.0,65.0,-21.0,-6.0,83.0,306,26,0.0,60,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12,0.009719,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28128.40309,80.0,1.0,0.0,0.0,0,0,0,68.0,80.0,19309.0,11.0,65.0,-13.0,-4.0,82.0,321,229,3.0,44,0,1,0,1,0,0,158,2048.0,20.0,195.0,155.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,175.0,130.0,167,2,8,3.100869,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
